,제목,예배,설교자,본문,날짜
436,"""예수, 예수, 예수"" (Jesus, Jesus, Jesus) / ""예수 그리스도의 복음"" (The Gospel of Jesus Christ)",주일예배,김상복 원로목사 / 김승욱 담임목사,요한복음 14:12-18 / 누가복음 4:16-19,2015-11-15
437,(느헤미야 11) 말씀의 백성,주일예배,김승욱 목사,"느헤미야 8장 (봉독: 1-3, 5-6, 8-10, 13-18)",2015-11-08
438,(느헤미야 10) 언약의 백성,주일예배,김승욱 목사,느헤미야 7:5-10,2015-11-01
439,(느헤미야 9) 깨어 있으십시오!,주일예배,김승욱 목사,느헤미야 6:15-7:4,2015-10-25
440,(느헤미야 8) 너 하나님의 사람아!,주일예배,김승욱 목사,느헤미야 6:1-14,2015-10-18
441,변혁 운동,주일예배,김상복 목사,로마서 12:1-2,2015-10-11
442,(느헤미야 7) 우리를 정결케 하소서,주일예배,김승욱 목사,느헤미야 5:1-13,2015-10-04
443,우리를 향하신 하나님의 생각,주일예배,김승욱 목사,예레미야 29:11,2015-09-27
444,"(느헤미야 6) 교회를 살리소서, 우리를 살리소서",주일예배,김승욱 목사,느헤미야 4:14-23,2015-09-20
445,(느헤미야 5) 방해와 공격 가운데서도,주일예배,김승욱 목사,느헤미야 4:1-13,2015-09-13
446,(느헤미야 4) 예상치 않았던 이름들,주일예배,김승욱 목사,느헤미야 3:1-8,2015-09-06
447,(느헤미야 3) 연합의 도구,주일예배,김승욱 목사,느헤미야 2:11-20,2015-08-30
448,(느헤미야 2) 때가 차매,주일예배,김승욱 목사,느헤미야 2:1-10,2015-08-23
449,(느헤미야 1) 느헤미야의 기도,주일예배,김승욱 목사,느헤미야 1:1-11,2015-08-16
450,(느헤미야 5) 방해와 공격 가운데서도,주일예배,김승욱 목사,느헤미야 4:1-13,2015-09-13
451,(느헤미야 4) 예상치 않았던 이름들,주일예배,김승욱 목사,느헤미야 3:1-8,2015-09-06
452,(느헤미야 3) 연합의 도구,주일예배,김승욱 목사,느헤미야 2:11-20,2015-08-30
453,(느헤미야 2) 때가 차매,주일예배,김승욱 목사,느헤미야 2:1-10,2015-08-23
454,(느헤미야 1) 느헤미야의 기도,주일예배,김승욱 목사,느헤미야 1:1-11,2015-08-16
455,기쁨 본분 경외,주일예배,김승욱 목사,전도서 3:11-14,2015-08-09
456,때를 따라 아름답게 하시는 하나님,주일예배,김승욱 목사,전도서 3:1-11,2015-08-02
457,(복음의 계승 4) 진리의 터 위에 세워진 사람들,주일예배,김승욱 목사,디모데후서 3:14-4:5,2015-07-26
458,(복음의 계승 3) 언어의 영성,주일예배,김승욱 목사,디모데후서 2:14-26,2015-07-19
459,(복음의 계승 2) 은혜 안에서 강건한 사람들,주일예배,김승욱 목사,디모데후서 2:1-6,2015-07-12
460,(복음의 계승 1) 대가를 치르는 믿음,주일예배,김승욱 목사,디모데후서 1:8-14,2015-07-05
461,용서하며 살자,주일예배,김상복 목사,누가복음 23:26-38,2015-06-28
462,갇힌 자와 고난 받는 자들을 마음에 품자,음성만 송출,이반석 목사,히브리서 13:3,2015-06-21
463,하나님의 사랑 안에서 자신을 지키십시오,주일예배,김승욱 목사,유다서 1:20-25,2015-06-14
464,(사도신경 강해 18) 나는 영원히 사는 것을 믿습니다,주일예배,김승욱 목사,요한계시록 22:1-5,2015-06-07
465,(사도신경 강해 17) 나는 몸이 다시 사는 것을 믿습니다,주일예배,김승욱 목사,로마서 8:21-25,2015-05-31
466,(사도신경 강해 16) 나는 죄를 사하여 주시는 것을 믿습니다,주일예배,김승욱 목사,누가복음 18:9-14,2015-05-24
467,(사도신경 강해 15) 나는 성도들이 서로 교통하는 것을 믿습니다,주일예배,김승욱 목사,에베소서 4:16,2015-05-17
468,(사도신경 강해 14) 나는 거룩한 공회를 믿습니다,주일예배,김승욱 목사,고린도전서 1:2,2015-05-10
469,(사도신경 강해 13) 나는 성령을 믿습니다,주일예배,김승욱 목사,고린도전서 12:13,2015-05-03
470,(사도신경 강해 12) 저리로서 산 자와 죽은 자를 심판하러 오실 예수 그리스도,주일예배,김승욱 목사,마태복음 25:13,2015-04-26
471,(사도신경 강해 11) 하나님 우편에 앉아계신 예수 그리스도,주일예배,김승욱 목사,로마서 8:31-34,2015-04-19
472,(사도신경 강해 10) 하늘에 오르신 예수 그리스도,주일예배,김승욱 목사,사도행전 1:1-11,2015-04-12
473,(사도신경 강해 9) 장사한지 사흘 만에 죽은 자 가운데서 다시 살아나신 예수 그리스도,주일예배,김승욱 목사,베드로전서 1:3-4,2015-04-05
474,(사도신경 강해 8) 본디오 빌라도에게 고난을 받으사 십자가에 못박혀 죽으신 예수 그리스도,주일예배,김승욱 목사,베드로전서 2:22-25,2015-03-29
475,(사도신경 강해 7) 동정녀 마리아에게 나신 예수 그리스도,주일예배,김승욱 목사,"이사야 7:14, 갈라디아서 4:4-5",2015-03-22
476,(사도신경 강해 6) 성령으로 잉태하신 예수 그리스도,주일예배,김승욱 목사,마태복음 1:18-23,2015-03-15
477,(사도신경 강해 5) 우리 주 예수 그리스도,주일예배,김승욱 목사,사도행전 2:36,2015-03-08
478,(사도신경 강해 4) 하나님의 독생자 예수 그리스도,주일예배,김승욱 목사,에베소서 1:3-7,2015-03-01
479,(사도신경 강해 3) 하늘과 땅을 지으신 하나님을 믿습니다,주일예배,김승욱 목사,시편 95:3-7,2015-02-22
480,(사도신경 강해 2) 전능하신 하나님 아버지를 믿습니다,주일예배,김승욱 목사,마태복음 6:9-10,2015-02-15
481,(사도신경 강해 1) 나는 믿습니다,주일예배,김승욱 목사,누가복음 12:8-9,2015-02-08
482,주의 말씀을 내게 가르치소서,주일예배,김승욱 목사,시편 119:33-40,2015-02-01
483,다시 살게 하소서,주일예배,김승욱 목사,시편 119:17-32,2015-01-25
484,주 말씀 향하여,주일예배,김승욱 목사,시편 119:1-8,2015-01-18
485,하나님의 얼굴 빛을 우리에게 비추사,주일예배,김승욱 목사,시편 67:1-7,2015-01-11
486,성령의 기름 부으사...,주일예배,김승욱 목사,베드로전서 2:9,2015-01-04
487,나를 따르라,주일예배,김승욱 목사,요한복음 21:18-25,2014-12-28
488,나를 향한 주님의 계획,주일예배,김승욱 목사,요한복음 21:15-17,2014-12-21
489,우리를 찾아오시는 주님,주일예배,김승욱 목사,요한복음 21:1-14,2014-12-14
490,예수 그리스도로 충분합니다,주일예배,김승욱 목사,요한복음 20:24-31,2014-12-07
491,"새 시대, 새 능력, 새 사명",주일예배,김승욱 목사,요한복음 20:11-23,2014-11-30
492,보고 믿더라,주일예배,김승욱 목사,요한복음 20:1-10,2014-11-23
493,부르신 곳에서,주일예배,김승욱 목사,요한복음 19:38-42,2014-11-16
494,다 이루신 예수님,주일예배,김승욱 목사,요한복음 19:28-37,2014-11-09
495,십자가에 못 박힌 그리스도,주일예배,김승욱 목사,요한복음 19:17-27,2014-11-02
496,"하나님의 아들, 왕, 어린 양",주일예배,김승욱 목사,요한복음 19:6-16,2014-10-26
497,보라 이 사람이로다!,주일예배,김승욱 목사,요한복음 19:1-5,2014-10-19
498,대속하시는 예수님,주일예배,김승욱 목사,요한복음 18:38-40,2014-10-12
499,하나님의 나라,주일예배,김승욱 목사,요한복음 18:33-38,2014-10-05
500,왜 날 사랑하나,주일예배,김상복 목사,요한복음 3:16-21,2014-09-28
501,인생 7도의 삶,주일예배,김명혁 목사(강변교회 원로),"히브리서 11:13-14, 마태복음 8:20",2014-09-21
502,복음 3도의 삶,주일예배,김명혁 목사(강변교회 원로),"고린도전서 1:23-25, 사도행전 10:38",2014-09-21
503,선교 7도의 삶,주일예배,김명혁 목사(강변교회 원로),"요한복음 1:14, 마가복음 10:45",2014-09-21
504,구원하시는 하나님의 열심,주일예배,김승욱 목사,요한복음 18:28-32,2014-09-14
505,피고석의 예수님,주일예배,김승욱 목사,요한복음 18:19-24,2014-09-07
506,베드로의 실족,주일예배,김승욱 목사,"요한복음 18:12-18, 25-27",2014-08-31
507,내가 그니라,주일예배,김승욱 목사,요한복음 18:1-11,2014-08-24
508,오직 예수 나의 믿음,주일예배,김승욱 목사,요한복음 17:25-26,2014-08-17
509,하나 되게 하소서,주일예배,김승욱 목사,요한복음 17:20-24,2014-08-10
510,진리로 거룩하게 하옵소서,주일예배,김승욱 목사,요한복음 17:14-19,2014-08-03
511,라합의 믿음,주일예배,김승욱 목사,"히브리서 11:31, 여호수아 2:8-13",2014-07-27
512,아버지여 저들을 보호하소서,주일예배,김승욱 목사,요한복음 17:11-13,2014-07-20
513,아들에게 맡겨주신 사람들,주일예배,김승욱 목사,요한복음 17:6-10,2014-07-13
514,아들을 영화롭게 하옵소서,주일예배,김승욱 목사,요한복음 17:1-5,2014-07-06
515,내가 세상을 이기었노라,주일예배,김승욱 목사,요한복음 16 : 25 - 33,2014-06-29
516,오직 예수,주일예배,박종순 목사 / 충신교회 원로목사,요한복음 3:14-16,2014-06-22
517,감사의 파워,주일예배,최홍준 목사 / 호산나교회 원로목사,시편 103:1-5,2014-06-15
518,아침에는 기쁨이 오리로다,주일예배,김승욱 목사,요한복음 16:16-24,2014-06-08
519,우리 안에서 행하시는 성령님,주일예배,김승욱 목사,요한복음 16:12-15,2014-06-01
520,성령이 임하시면,주일예배,김승욱 목사,사도행전 1:8,2014-05-25
521,이 민족이 사는 길,주일예배,손인식 목사 / 전 베델한인교회 담임목사 KCC국제대표,누가복음 10:33-37,2014-05-18
522,이런 일에 본이 되십시오,주일예배,김승욱 목사,디모데전서 4 : 12,2014-05-11
523,너 하나님의 사람아,주일예배,김승욱 목사,디모데전서 6 : 11 - 12,2014-05-04
524,여호와 내 하나님이여,주일예배,김승욱 목사,시편 13편,2014-04-27
525,그 날 아침에 들려진 메세지,주일예배,김승욱 목사,마태복음 28:1-10,2014-04-20
526,성령의 도구로 사십시오,주일예배,김승욱 목사,요한복음 16 : 5 - 11,2014-04-13
527,세 개의 십자가,주일예배,고석찬 목사 / 남가주 사랑의 교회 선임목사,누가복음 23:39-43,2014-04-06
528,시련 중에도 증인으로 사십시오,주일예배,김승욱 목사,요한복음 15:26-16:4,2014-03-30
529,예수님께 속한 자입니까?,주일예배,김승욱 목사,요한복음 15 : 18 - 25,2014-03-23
530,그 날 아침에 들려진 메세지,주일예배,김승욱 목사,마태복음 28:1-10,2014-04-20
531,성령의 도구로 사십시오,주일예배,김승욱 목사,요한복음 16 : 5 - 11,2014-04-13
532,세 개의 십자가,주일예배,고석찬 목사 / 남가주 사랑의 교회 선임목사,누가복음 23:39-43,2014-04-06
533,시련 중에도 증인으로 사십시오,주일예배,김승욱 목사,요한복음 15:26-16:4,2014-03-30
534,예수님께 속한 자입니까?,주일예배,김승욱 목사,요한복음 15 : 18 - 25,2014-03-23
535,가장 큰 사랑,주일예배,김승욱 목사,요한복음 15 : 12 - 17,2014-03-16
536,내 안에 거하라,주일예배,김승욱 목사,요한복음 15:6-11,2014-03-09
537,나는 참 포도나무요,주일예배,김승욱 목사,요한복음 15:1-5,2014-03-02
538,주님의 평화,주일예배,김승욱 목사,요한복음 14:27-31,2014-02-23
539,우리의 스승 되시는 성령님,주일예배,김승욱 목사,요한복음 14 : 25 - 26,2014-02-16
540,주님과의 연합,주일예배,김승욱 목사,요한복음 14:15-24,2014-02-09
541,성령충만한 가정생활,주일예배,김상복 원로목사,에베소서 5:15-28,2014-02-02
542,예수님으로 충만하게 하소서,주일예배,김승욱 목사,에베소서 4:13,2014-01-26
543,하나되게 하소서,주일예배,김승욱 목사,에베소서 4:13,2014-01-19
544,예수님을 아는 일에 하나 되게 하소서,주일예배,김승욱 목사,에베소서 4:13,2014-01-12
545,예수님을 믿는 것에 하나가 되게 하소서,주일예배,김승욱 목사,에베소서 4:13,2014-01-05
546,나의 영혼이 잠잠히 하나님만 바람이여,주일예배,김승욱 목사,시편 62:1-12,2013-12-29
547,이보다 더 큰 일을 하리라,주일예배,김승욱 목사,요한복음 14 : 12 - 14,2013-12-22
548,하나님을 보려면,주일예배,김승욱 목사,요한복음 14 : 7 - 11,2013-12-15
549,오직 예수님으로만,주일예배,김승욱 목사,요한복음 14 : 4 -6,2013-12-08
550,너희는 마음에 근심하지 말라,주일예배,김승욱 목사,요한복음 14:1-3,2013-12-01
551,우리들은 약하나,주일예배,김승욱 목사,요한복음 13 : 36 ~ 38,2013-11-24
552,반석 위에 세운 교회,주일예배,김상복 목사,마태복음 16 : 13 -18,2013-11-17
553,새 계명,주일예배,김승욱 목사,요한복음 13 : 33 ~ 35,2013-11-10
554,그리스도의 영광,주일예배,김승욱 목사,요한복음 13 : 31 ~ 32,2013-11-03
555,예수님을 거부한 자,주일예배,김승욱 목사,요한복음 13 : 21 ~ 30,2013-10-27
556,보내소서,주일예배,김승욱 목사,요한복음 13 : 18 ~ 20,2013-10-20
557,너희가 이것을 알고 행하면 복이 있으리라,주일예배,김승욱 목사,요한복음 13 : 12 ~ 17,2013-10-13
558,"십자가의 보혈, 완전하신 사랑",주일예배,김승욱 목사,요한복음 13 : 2 ~ 11,2013-10-06
559,사랑하시되 끝까지 사랑하시니라,주일예배,김승욱 목사,요한복음 13 : 1,2013-09-29
560,가장 큰 계명,주일예배,김상복 원로목사,마태복음 22 : 34 ~ 40,2013-09-22
561,예수님의 선언 II,주일예배,김승욱 목사,요한복음 12:47 ~ 50,2013-09-15
562,예수님의 선언 I,주일예배,김승욱 목사,요한복음 12 : 44 ~ 46,2013-09-08
563,빗나간 사랑,주일예배,김승욱 목사,마태복음 10 : 37~39,2013-09-01
564,그들이 믿지 못한 것은,주일예배,김승욱 목사,요한복음 12:37-43,2013-08-25
565,빛의 자녀들이 되십시오,주일예배,김승욱 목사,요한복음 12 : 34 ~ 36,2013-08-18
566,예수님의 결단,주일예배,김승욱 목사,요한복음 12 : 27 ~ 33,2013-08-11
567,예수를 뵈옵고자 하나이다,주일예배,김승욱 목사,요한복음 12 : 20 ~ 26,2013-08-04
568,주의 뜻이 이루어 지이다,주일예배,김승욱 목사,요한복음 12 : 12~19,2013-07-28
569,그리스도의 편지,주일예배,김승욱 목사,요한복음 12 : 9 ~ 11,2013-07-21
570,깨트려 부어진 사랑,주일예배,김승욱 목사,요한복음 12 : 1~8,2013-07-14
571,놀라운 사랑,주일예배,김승욱 목사,요한복음 11:45~57,2013-07-07
572,일곱번째 표적,주일예배,김승욱 목사,요한복음 11:38~44,2013-06-30
573,사랑의 능력,주일예배,정민용 목사(일리노이주립대학 커비넨트휄로십교회 담임),고린도전서 13:1~13,2013-06-23
574,예수님의 눈물,주일예배,김승욱 목사,요한복음 11:28~37,2013-06-16
575,깨트려 부어진 사랑,주일예배,김승욱 목사,요한복음 12 : 1~8,2013-07-14
576,놀라운 사랑,주일예배,김승욱 목사,요한복음 11:45~57,2013-07-07
577,일곱번째 표적,주일예배,김승욱 목사,요한복음 11:38~44,2013-06-30
578,사랑의 능력,주일예배,정민용 목사(일리노이주립대학 커비넨트휄로십교회 담임),고린도전서 13:1~13,2013-06-23
579,예수님의 눈물,주일예배,김승욱 목사,요한복음 11:28~37,2013-06-16
580,부활의 능력으로 살게 하소서,주일예배,김승욱 목사,요한복음 11:17~27,2013-06-09
581,열방이 보고 알리라,주일예배,김승욱 목사,이사야 41:11~20,2013-06-02
582,내가 땅끝에서부터 너를 붙들며,주일예배,김승욱 목사,이사야 41:1~10,2013-05-26
583,내가 그리스도와 함께,주일예배,윤종일 목사,갈라디아서 2:20~21,2013-05-19
584,하나님의 평화,주일예배,김상복 목사,빌립보서 4:4~8,2013-05-12
585,주 말씀 향하여,주일예배,김승욱 목사,요한복음 11:7~16,2013-05-05
586,사랑받는 자에게 임한 고난,주일예배,김승욱 목사,요한복음 11:1~6,2013-04-28
587,은혜의 강가로 나오십시오,주일예배,김승욱 목사,요한복음 10:30~42,2013-04-21
588,이제는 주님을 신뢰하고 믿으십시오,주일예배,김승욱 목사,요한복음10:19~29,2013-04-14
589,아버지의 마음,주일예배,김승욱 목사,레위기 19:9~10,2013-04-07
590,그리스도의 장성한 분량,주일예배,김승욱 목사,엡 4:13,2013-03-31
591,참 마음과 온전한 믿음으로,주일예배,김승욱 목사,히 10:22,2013-03-24
592,주 너의 하나님을 경외하라,주일예배,김승욱 목사,레 19:32,2013-03-17
593,거룩한 산 제물,주일예배,김승욱 목사,로마서 12:1-2,2013-03-10
594,온전한 사랑,주일예배,김승욱 목사,요한일서 4:15-21,2013-03-03
595,형제의 연합,주일예배,김승욱 목사,시편 133:1-3,2013-02-24
596,둘로 하나를 만드사,주일예배,김승욱 목사,에베소서 2:13-18,2013-02-17
597,오직 나와 내집은,주일예배,김승욱 목사,여호수아 23:14-18,2013-02-10
598,이 산지를 내게 주소서,주일예배,김승욱 목사,여호수아 14:6-15,2013-02-03
599,"공동체,리더십,거룩한 삶",주일예배,김승욱 목사,여호수아 7:1-5,2013-01-27
600,여리고를 무너뜨리려면,주일예배,김승욱 목사,여호수아 6:1-9,2013-01-20
601,언약의 백성들,주일예배,김승욱 목사,여호수아 5:1-12,2013-01-13
602,주님과 함께 전진하게 하소서,주일예배,김승욱 목사,여호수아 3:17,2013-01-06
603,나는 선한 목자라,주일예배,김승욱 목사,요한복음 10:11-18,2012-12-30
604,나는 양의 문이라,주일예배,김승욱 목사,요한복음 10:1-10,2012-12-23
605,보지 못하는 사람들,주일예배,김승욱 목사,요한복음 9:39-41,2012-12-16
606,주여 내가 믿나이다,주일예배,김승욱 목사,요한복음 9: 35-38,2012-12-09
607,우리가 아는 것,주일예배,김승욱 목사,요한복음 9:24-34,2012-12-02
608,사람을 두려워 함,주일예배,김승욱 목사,요한복음 9:13-23,2012-11-25
609,"교회의 승리, 교회의 사명",주일예배,김승욱 목사,마태복음 16:18-19,2012-11-18
610,아버지의 마음,주일예배,김진영 목사,누가복음 15:25-32,2012-11-11
611,섬기는 자의 영광,주일예배,김승욱 목사,마태복음 20:28,2012-11-04
612,선한 일을 위해 지으심을 받은 우리,주일예배,김승욱 목사,에베소서 2:10,2012-10-28
613,감사의 생활화,주일예배,김상복 목사,데살로니가전서 5:16-18,2012-10-21
614,예배가 예배되게 하소서,주일예배,김승욱 목사,로마서 12:1~5,2012-10-14
615,함께 지어져 가는 하나님의 교회,주일예배,김승욱 목사,에베소서 2:19~22,2012-10-07
616,(요한복음강해 45) 여섯 번째 표적,주일예배,김승욱 목사,요한복음 9:1~12,2012-09-30
617,(요한복음강해 44) 예수님은 하나님이신가?,주일예배,김승욱 목사,요한복음 8:52~59,2012-09-23
618,(요한복음강해 43) 사망에서 생명으로,주일예배,김승욱 목사,요한복음 8:43~51,2012-09-16
619,"(요한복음강해 42) 예수 사랑, 말씀 사랑",주일예배,김승욱 목사,요한복음 8:37~42,2012-09-09
620,은혜의 영성,주일예배,김선만 목사,디모데전서 :12~17,2012-09-02
621,"(요한복음강해 41) 참된 제자, 참된 자유",주일예배,김승욱 목사,요한복음 8:31~36,2012-08-26
622,(요한복음강해 40) 십자가의 예수님으로만,주일예배,김승욱 목사,요한복음 8:19~30,2012-08-19
623,아버지의 유익한 훈계,주일예배,김승욱 목사,히브리서 12:4~13,2012-08-12
624,하나님의 권위를 존중하라,주일예배,최홍준 목사,요한복음 13:20,2012-08-05
625,은혜의 영성,주일예배,김선만 목사,디모데전서 :12~17,2012-09-02
626,"(요한복음강해 41) 참된 제자, 참된 자유",주일예배,김승욱 목사,요한복음 8:31~36,2012-08-26
627,(요한복음강해 40) 십자가의 예수님으로만,주일예배,김승욱 목사,요한복음 8:19~30,2012-08-19
628,아버지의 유익한 훈계,주일예배,김승욱 목사,히브리서 12:4~13,2012-08-12
629,하나님의 권위를 존중하라,주일예배,최홍준 목사,요한복음 13:20,2012-08-05
630,이사야가 본 예수님의 영광,주일예배,정민용 목사,요한복음 12:37~41,2012-07-29
631,예수님과 만남에서 얻는 축복,주일예배,임창하 목사,요한복음 4:4~30,2012-07-22
632,반쪽짜리 신앙,주일예배,김상복 목사,창세기 28:10~22,2012-07-15
633,(요한복음강해 39) 참된 증언,주일예배,김승욱 목사,요한복음 8:13~18,2012-07-08
634,(요한복음강해 38) 빛 되신 주,주일예배,김승욱 목사,요한복음 8:12,2012-07-01
635,(요한복음강해 37) 우리의 죄가 주홍 같을지라도,주일예배,김승욱 목사,요한복음 7:53~8:11,2012-06-24
636,(요한복음강해 36) 놀랍다 주님의 큰 은혜,주일예배,김승욱 목사,요한복음 7:40~52,2012-06-17
637,(요한복음강해 35) 생수의 강,주일예배,김승욱 목사,요한복음 7:37~39,2012-06-10
638,내가 여기 있나이다 나를 보내소서,주일예배,김승욱 목사,이사야 6:8,2012-06-03
639,(요한복음강해 34) 내 귀를 열어주소서,주일예배,김승욱 목사,요한복음 7:25~36,2012-05-27
640,킹덤 파워,주일예배,황성주 목사,베드로전서 3:1~7,2012-05-20
641,(요한복음강해 33) 사람들의 교훈과 하나님의 교훈,주일예배,김승욱 목사,요한복음 7:11~24,2012-05-13
642,(요한복음강해 32) 하나님의 시간,주일예배,김승욱 목사,요한복음 7:1~10,2012-05-06
643,(요한복음강해 31) 예수님과 가룟 유다,주일예배,김승욱 목사,요한복음 6:70~71,2012-04-29
644,(요한복음강해 30) 너희도 가려느냐?,주일예배,김승욱 목사,요한복음 6:60~69,2012-04-22
645,(요한복음강해 29) 참된 양식 참된 음료,주일예배,김승욱 목사,요한복음 6:51~59,2012-04-15
646,(요한복음강해 28) 아들을 보고 믿는 자마다,주일예배,김승욱 목사,요한복음 6 : 40,2012-04-08
647,(요한복음강해 27) 내가 하나도 잃어버리지 아니하리라,주일예배,김승욱 목사,요한복음 6:36 ~ 39,2012-04-01
648,(요한복음강해 26) 나는 생명의 떡이니,주일예배,김승욱 목사,요한복음 6:30~35,2012-03-25
649,(요한복음강해 25) 왜 예수님을 찾으십니까?,주일예배,김승욱 목사,요한복음 6:22~29,2012-03-18
650,(요한복음강해 24) 다섯번째 표적,주일예배,김승욱 목사,요한복음 6:16~21,2012-03-11
651,무엇보다도 이것을 행하라,주일예배,김승욱 목사,베드로전서 4:7~11,2012-03-04
652,사랑방 소그룹 사랑,주일예배,김상복 목사,출애굽기 18:13~23,2012-02-26
653,서로 돌아보아,주일예배,김승욱 목사,히브리서 10:23~25,2012-02-19
654,(요한복음 강해 23) 세 가지 반응,주일예배,김승욱 목사,요한복음 6:7~15,2012-02-12
655,(요한복음 강해 22) 네 번째 표적,주일예배,김승욱 목사,요한복음 6:1~6,2012-02-05
656,(요한복음 강해 21) 아버지의 증언,주일예배,김승욱 목사,요한복음 5:31~47,2012-01-29
657,(요한복음 강해 20) 생명 주께 있네,주일예배,김승욱 목사,요한복음 5:24~30,2012-01-22
658,"(요한복음 강해 19) 예수, 하나님의 아들",주일예배,김승욱 목사,요한복음 5:19~23,2012-01-15
659,세상을 이기는 교회,주일예배,김승욱 목사,요한일서 5:4~5,2012-01-08
660,주님 닮게 하소서,주일예배,김승욱 목사,로마서 8:29,2012-01-01
661,기쁨 (대강절 메시지5),주일예배,김승욱 목사,마태복음 1:18~25,2011-12-25
662,준비 (대강절 메시지3),주일예배,김승욱 목사,스가랴 9:9~10,2011-12-18
663,기대 (대강절 메시지2),주일예배,김승욱 목사,"에스겔 34:11~16, 23~24",2011-12-11
664,기다림 (대강절 메시지1),주일예배,김승욱 목사,마태복음 2:13~18,2011-12-04
665,(요한복음 강해 18) 종교로 인해 눈 먼 사람들,주일예배,김승욱 목사,요한복음 5:9~18,2011-11-27
666,(요한복음 강해 17) 세 번째 표적,주일예배,김승욱 목사,요한복음 5:1~9,2011-11-20
667,(요한복음 강해 16) 두 번째 표적,주일예배,김승욱 목사,요한복음 4:43~54,2011-11-13
668,(요한복음 강해 15) 눈을 들어 밭을 보라,주일예배,김승욱 목사,요한복음 4:31~42,2011-11-06
669,(요한복음 강해 14) 저희가 예수께로 오더라 (전도축제 Blessing Summit 2011),주일예배,김승욱 목사,요한복음 4:27~30,2011-10-30
670,(요한복음 강해 13) 주를 보게 하소서,주일예배,김승욱 목사,요한복음 4:11~26,2011-10-23
671,(요한복음 강해 12) 전혀 예상치 못했던 방문,주일예배,김승욱 목사,요한복음 4:1~10,2011-10-16
672,(요한복음 강해 11) 참으로 큰 자,주일예배,김승욱 목사,요한복음 3:22~36,2011-10-09
673,(요한복음 강해 10) 하나님이,주일예배,김승욱 목사,요한복음 3:16~21,2011-10-02
674,(요한복음 강해 09) 거듭났습니까?,주일예배,김승욱 목사,요한복음 3:1~15,2011-09-25
675,(요한복음 강해 08) 무엇을 믿습니까?,주일예배,김승욱 목사,요한복음 2:18~25,2011-09-18
676,(요한복음 강해 07) 아버지 집을 향한 열정,주일예배,김승욱 목사,요한복음 2:12~17,2011-09-11
677,(요한복음 강해 06) 첫번째 표적,주일예배,김승욱 목사,요한복음 2:1~11,2011-09-04
678,평화를 누리며 살자,주일예배,김상복 목사,빌립보서 4:4~9,2011-08-28
679,이것을 알고 행하면 복이 있으리라,주일예배,이종윤 목사,요한복음 13:12~17,2011-08-21
680,택하신 자를 찾아오시는 하나님,주일예배,김승욱 목사,창세기 28:10~16,2011-08-14
681,성결에 이르게 하는 은혜,주일예배,김승욱 목사,디도서 2:11~14,2011-08-07
