,제목,예배,설교자,본문,날짜
682,역전하는 공동체,주일예배,김승욱 목사,창세기 11:1~9,2011-07-31
683,위기를 기회삼아,주일예배,김승욱 목사,다니엘 1:1~9,2011-07-24
684,첫사랑의 회복,주일예배,김상복 목사,요한계시록 2:1~7,2011-07-17
685,마지막 날에,주일예배,김승욱 목사,요엘 2:28~32,2011-07-10
686,이 때를 위함인지 누가 아느냐?,주일예배,김승욱 목사,에스더 4:12~16,2011-07-03
687,종이 여기 있사오니,주일예배,오창록 목사,사무엘하 15:19 ~ 26,2011-06-26
688,마리아...,주일예배,이한영 목사,누가복음 2:19,2011-06-19
689,정체성의 변화,주일예배,김상복 목사,마태복음 5:13 ~ 16,2011-06-12
690,(요한복음 강해 05) 부르시는 예수님,주일예배,김승욱 목사,요한복음 1:35 ~ 51,2011-06-05
691,(요한복음 강해 04) 광야의 소리,주일예배,김승욱 목사,요한복음 1:19 ~ 34,2011-05-29
692,(요한복음 강해 03) 우리 가운데 거하시매,주일예배,김승욱 목사,요한복음 1:14 ~ 18,2011-05-22
693,(요한복음 강해 02) 사람들의 빛이라,주일예배,김승욱 목사,요한복음 1:4 ~ 13,2011-05-15
694,(요한복음 강해 01) 예수 그리스도,주일예배,김승욱 목사,요한복음 1:1 ~ 4,2011-05-08
695,말씀으로 깨끗하게 하사,주일예배,김승욱 목사,에베소서 5:26 ~ 27,2011-05-01
696,하나님이 그를 지극히 높여,주일예배,김승욱 목사,빌립보서 2:9 ~ 11,2011-04-24
697,사순절의 의미(3) : 바라봄,주일예배,김승욱 목사,이사야 53:10,2011-04-17
698,사순절의 의미(2) : 누림,주일예배,김승욱 목사,요한복음 14:1 ~ 4,2011-04-10
699,사순절의 의미(1) : 내려놓음,주일예배,김승욱 목사,빌립보서 3:7 ~ 9,2011-04-03
700,말씀으로 깨끗하게 하사,주일예배,김승욱 목사,에베소서 5:26 ~ 27,2011-05-01
701,하나님이 그를 지극히 높여,주일예배,김승욱 목사,빌립보서 2:9 ~ 11,2011-04-24
702,사순절의 의미(3) : 바라봄,주일예배,김승욱 목사,이사야 53:10,2011-04-17
703,사순절의 의미(2) : 누림,주일예배,김승욱 목사,요한복음 14:1 ~ 4,2011-04-10
704,사순절의 의미(1) : 내려놓음,주일예배,김승욱 목사,빌립보서 3:7 ~ 9,2011-04-03
705,문들아 머리 들어라,주일예배,김승욱 목사,시편 24:1-10,2011-03-27
706,더 큰 일을 보리라,주일예배,김병건 목사,요한복음 1:43~51,2011-03-20
707,제10계명 '네 이웃의 소유를 탐내지 말지니라',주일예배,김승욱 목사,신명기 5:21,2011-03-13
708,제9계명 '거짓 증거하지 말지니라',주일예배,김승욱 목사,신명기 5:20,2011-03-06
709,제8계명 '도적질하지 말지니라',주일예배,김승욱 목사,신명기 5:19,2011-02-27
710,제7계명 '간음하지 말지니라',주일예배,김승욱 목사,신명기 5:18,2011-02-20
711,제6계명 '살인하지 말지니라',주일예배,김승욱 목사,신명기 5:17,2011-02-13
712,제5계명 '네 부모를 공경하라',주일예배,김승욱 목사,신명기 5:16,2011-02-06
713,제4계명 '안식일을 지켜 거룩하게 하라',주일예배,김승욱 목사,신명기 5:12 ~ 15,2011-01-30
714,제3계명 '주님의 이름을 망령되이 일컫지 말라',주일예배,김승욱 목사,신명기 5:11,2011-01-23
715,제2계명,주일예배,김승욱 목사,신명기 5:8 ~ 10,2011-01-16
716,제1계명 '다른 신들을 네게 있게 말지니라',주일예배,김승욱 목사,신명기 5:1-7,2011-01-09
717,마음을 다하고 성품을 다하여,주일예배,김승욱 목사,신명기 4:25~31,2011-01-02
718,오직 여호와를 앙망하는 자는,주일예배,김승욱 목사,이사야 40:27 ~ 31,2010-12-26
719,너희 하나님을 보라,주일예배,김승욱 목사,이사야 40:9~11,2010-12-19
720,위로하라 위로하라,주일예배,김승욱 목사,이사야 40:1 ~ 8,2010-12-12
721,준비된 신부,주일예배,김승욱 목사,요한계시록 19:6 ~ 8,2010-12-05
722,예수님이 높이 들리시면,주일예배,김승욱 목사,요한복음 12:32~33,2010-11-28
723,하나님이 보내신 사람,주일예배,김상복 목사,요한복음 1:1 ~ 14,2010-11-21
724,믿음으로 선교합니다.,주일예배,유병국 선교사,누가복음 10:1~6,2010-11-14
725,사랑의 축복,주일예배,김상복 목사,시편 91:1 ~ 16,2010-11-07
726,잘못된 사랑,주일예배,김상복 목사,창세기 37:1 ~ 4,2010-10-31
727,사랑의 기준,주일예배,김상복 목사,요한복음 13:31 ~ 38,2010-10-24
728,하나님을 기뻐하는 삶,주일예배,윤현준 목사,민수기 11:1 ~ 9,2010-10-17
729,서로 사랑하자,주일예배,김상복 목사,요한일서 4:7 ~ 16,2010-10-10
730,하나님의 뜻을 따라 사는 사람들의 축복,주일예배,김상복 목사,히브리서 10:32 ~ 39,2010-10-03
731,하나님의 꿈,주일예배,윤종일 목사,에스겔 37:1 10,2010-09-26
732,"하나님의 뜻, 즐겁게 한다",주일예배,김상복 목사,에베소서 6:5 ~ 9,2010-09-19
733,기대와 기다림,주일예배,김승욱 목사,사도행전 1:12 ~ 14,2010-09-12
734,낙심말고 기도하자,주일예배,김상복 목사,누가복음 18:1 ~ 8,2010-09-05
735,하나님의 뜻을 어떻게 찾나?,주일예배,김상복 목사,시편 119:145 ~ 152,2010-08-29
736,아버지의 뜻대로,주일예배,김상복 목사,누가복음 22:39 ~ 46,2010-08-22
737,하나님의 뜻을 이루며 산다,주일예배,김상복 목사,요한일서 2:15 ~ 17,2010-08-15
738,성경의 3대 사역,주일예배,김상복 목사,디모데후서 3:14 ~ 17,2010-08-08
739,예배자의 태도,주일예배,김상복 목사,시편 100:1 ~ 5,2010-08-01
740,함께 지어져 가는 성전,주일예배,김상복 목사,에베소서 2:11 ~ 22,2010-07-25
741,교회의 목적,주일예배,김상복 목사,사도행전 2:37~47,2010-07-18
742,내 교회를 세우리라,주일예배,김상복 목사,마태복음 16장18,2010-07-11
743,반석위에 세운 교회,주일예배,김상복 목사,마태복음 16:13 ~ 20,2010-07-04
744,심는 것을 거둔다,주일예배,김상복 목사,갈라디아서 6:6 ~ 10,2010-06-27
745,함께 지어져 가는 성전,주일예배,김상복 목사,에베소서 2:11 ~ 22,2010-07-25
746,교회의 목적,주일예배,김상복 목사,사도행전 2:37~47,2010-07-18
747,내 교회를 세우리라,주일예배,김상복 목사,마태복음 16장18,2010-07-11
748,반석위에 세운 교회,주일예배,김상복 목사,마태복음 16:13 ~ 20,2010-07-04
749,심는 것을 거둔다,주일예배,김상복 목사,갈라디아서 6:6 ~ 10,2010-06-27
750,결혼의 원리,주일예배,김상복 목사,창세기 24:1 ~ 9,2010-06-20
751,가장의 사명,주일예배,김상복 목사,디모데전서 5:8,2010-06-13
752,어떻게 사랑하나?,주일예배,김상복 목사,에베소서 5:28~30,2010-06-06
753,사랑의 결과,주일예배,김상복 목사,에베소서 5:21 ~ 33,2010-05-30
754,관점을 바꾸자,주일예배,박석민 목사,민수기 13:30,2010-05-23
755,어머니 사랑 하나님 사랑,주일예배,김상복 목사,잠언 31:10 ~ 31,2010-05-16
756,이스라엘아 들으라!,주일예배,백명렬 목사,신명기 6:4 ~ 9,2010-05-09
757,어느 초를 사시겠어요 ?,주일예배,김상복 목사,잠언 22:1 - 6,2010-05-02
758,타락한 사회,주일예배,김상복 목사,디모데후서 3:1~5,2010-04-25
759,깨끗한 그릇,주일예배,김상복 목사,디모데후서 2:19-26,2010-04-18
760,장벽을 초월하는 예수님,주일예배,얼빈 목사,요한복음 20:19 - 31,2010-04-11
761,우리도 변화하리라,주일예배,김상복 목사,고린도전서 15:50 - 58,2010-04-04
762,새 사람을 입으라,주일예배,김상복 목사,골 3:1-17,2010-03-28
763,회개의 열매,주일예배,김상복 목사,마태복음 3:1 ~ 12,2010-03-21
764,사순절 기도와 선행,주일예배,김상복 목사,여호수아 6:12 ~ 16,2010-03-14
765,일부일처제,주일예배,김상복 목사,창세기 4:16 ~ 24,2010-03-07
766,갈등의 시작,주일예배,김상복 목사,창세기 4:1~15,2010-02-28
767,가정의 4대 도전,주일예배,김상복 목사,창세기 3:14~21,2010-02-21
768,가정 문제의 원인 II,주일예배,김상복 목사,창세기 3:9 ~ 13,2010-02-14
769,가정 문제의 원인,주일예배,김상복 목사,창세기 3:1 ~ 13,2010-02-07
770,부끄럽지 않은 부부,주일예배,김상복 목사,창세기 2:24~25,2010-01-31
771,인류의 첫번째 가정,주일예배,김상복 목사,창세기 2:18 ~ 25,2010-01-24
772,가정은 하나님의 작품,주일예배,김상복 목사,창세기 2:18 ~ 24,2010-01-17
773,하나님의 소명,주일예배,김상복 목사,출애굽기 3:1 ~ 14,2010-01-10
774,"행복한 가정, 건강한 교회",주일예배,김상복 목사,시편 128:1 ~ 6,2010-01-03
775,부끄럽지 않은 부부,주일예배,김상복 목사,창세기 2:24~25,2010-01-31
776,인류의 첫번째 가정,주일예배,김상복 목사,창세기 2:18 ~ 25,2010-01-24
777,가정은 하나님의 작품,주일예배,김상복 목사,창세기 2:18 ~ 24,2010-01-17
778,하나님의 소명,주일예배,김상복 목사,출애굽기 3:1 ~ 14,2010-01-10
779,"행복한 가정, 건강한 교회",주일예배,김상복 목사,시편 128:1 ~ 6,2010-01-03
780,만사에 때가 있다,주일예배,김상복 목사,전도서 3:1 ~ 15,2009-12-27
781,평화의 왕이 오셨다.,주일예배,김상복 목사,누가복음 2:8 ~ 20,2009-12-20
782,준비된 성탄,주일예배,김상복 목사,마태복음 1:18-25,2009-12-13
783,역경의 은혜 XVI,주일예배,김상복 목사,고린도후서 1:3 ~ 7,2009-12-06
784,역경의 은혜 XV,주일예배,김상복 목사,여호수아 2:15 ~ 24,2009-11-29
785,오직 주만 바라보나이다,주일예배,엄기영 목사,역대하 20:1 ~ 13,2009-11-22
786,반석위에 세운 교회,주일예배,김상복 목사,마태복음 16:13 ~ 20,2009-11-15
787,핍박이 오고 있다,주일예배,김상복 목사,마태복음 24:3 ~ 14,2009-11-08
788,하나님의 영광을 위하여,주일예배,데니스홀린저 목사,고린도전서 10:23 ~ 31,2009-11-01
789,역경의 은혜 XIV,주일예배,김상복 목사,고린도후서 12:7 ~ 10,2009-10-25
790,역경의 은혜 XIII,주일예배,김상복 목사,누가복음 10:30 ~ 37,2009-10-18
791,역경의 은혜 XII,주일예배,김상복 목사,마태복음 7:24 ~ 27,2009-10-11
792,역경의 은혜 XI,주일예배,김상복 목사,시편 107:10 ~ 22,2009-10-04
793,역경의 은혜 X,주일예배,김상복 목사,디모데전서 2:1~4,2009-09-27
794,역경의 은혜 IX,주일예배,김상복 목사,갈라디아서 6:7 ~ 10,2009-09-20
795,역경의 은혜 VIII,주일예배,김상복 목사,야고보서 1:1 ~ 4,2009-09-13
796,역경의 은혜Ⅶ,주일예배,김상복 목사,에베소서 6:10-18,2009-09-06
797,역경의 은혜 VI,주일예배,김상복 목사,출애굽기 2:23 ~ 3:10,2009-08-30
798,역경의 은혜 V,주일예배,김상복 목사,고린도후서 12:7 ~ 10,2009-08-23
799,역경의 은혜 IV,주일예배,김상복 목사,역대하 16:7 ~ 10,2009-08-16
800,역경의 은혜 III,주일예배,김상복 목사,"시편 139:1-10, 23-24",2009-08-09
801,역경의 은혜 II,주일예배,김상복 목사,히브리서 12:6~13,2009-08-02
802,역경의 은혜 I,주일예배,김상복 목사,시편 31:7 ~ 17,2009-07-26
803,기도만이 살길이다,주일예배,김상복 목사,역대하 7:11-16,2009-07-19
804,가서 전하라 보여 주라,주일예배,김상복 목사,마가복음 16:14 ~ 20,2009-07-12
805,내가 다시 살리리라,주일예배,김상복 목사,요한복음 6:35 ~ 6:40,2009-07-05
806,아름다운 소식,주일예배,송영선 목사,열왕기하 7:3 ~ 9,2009-06-28
807,성전 헌당식의 축복,주일예배,김상복 목사,열왕기상 8:54 ~ 66,2009-06-21
808,효과적인 인생,주일예배,제프 터니클리프 목사,"시편 90:1~6, 12",2009-06-14
809,인도하시리라,주일예배,김상복 목사,잠언 3:1 ~ 10,2009-06-07
810,하나님은 용서하신다,주일예배,김상복 목사,요한1서 1:1-10,2009-05-31
811,늘 마음이 편하다,주일예배,김상복 목사,마가복음 1:29~39,2009-05-24
812,부지런히 가르치라,주일예배,김상복 목사,신명기 6:4 ~ 9,2009-05-17
813,기독교인의 악을 극복할 책임,주일예배,마크 빌라일즈 목사,로마서 12:21,2009-05-10
814,기도의 생활화,주일예배,김상복 목사,다니엘 6:10 ~ 17,2009-05-03
815,Enjoying God,주일예배,로버트 갓프리 목사,시편 73편,2009-04-26
816,장애인의 해방,주일예배,김상복 목사,마태복음 11:1 ~ 6,2009-04-19
817,누구를 찾으십니까,주일예배,이상협 목사,누가복음 24:1 ~ 12,2009-04-12
818,풀어 오라 내가 쓰리라,주일예배,김상복 목사,누가복음 19:28 ~ 40,2009-04-05
819,내가 너와 함께 있으니,주일예배,김상복 목사,사도행전 18:5 ~ 11,2009-03-29
820,임재와 사랑,주일예배,김상복 목사,사무엘상 18:22 ~ 29,2009-03-22
821,임재와 형통의 은혜,주일예배,김상복 목사,창세기 39:1 ~ 6,2009-03-15
822,우리와 함께 계신다,주일예배,김상복 목사,고린도후서 13:1 ~5,2009-03-08
823,3.1절 독립선언,주일예배,김상복 목사,요한복음 8:31 ~ 36,2009-03-01
824,현세의 구원과 내세의 구원,주일예배,김상복 목사,마태복음 9:18 ~ 26,2009-02-22
825,"사랑방 1010 운동 , 사람낚는 어부",주일예배,김상복 목사,마태복음 4:12 ~ 22,2009-02-15
826,구원의 하나님,주일예배,김상복 목사,시편 18:1 ~ 6,2009-02-08
827,거듭난 사람의 증거,주일예배,김상복 목사,요한일서 5:1 ~ 5,2009-02-01
828,거듭나면...,주일예배,김상복 목사,베드로후서 1:1 ~ 4,2009-01-25
829,다시 태어났다,주일예배,김상복 목사,요한복음 3:1 ~ 8,2009-01-18
830,"사랑방 1010 운동 , 사람낚는 어부",주일예배,김상복 목사,마태복음 4:12 ~ 22,2009-02-15
831,구원의 하나님,주일예배,김상복 목사,시편 18:1 ~ 6,2009-02-08
832,거듭난 사람의 증거,주일예배,김상복 목사,요한일서 5:1 ~ 5,2009-02-01
833,거듭나면...,주일예배,김상복 목사,베드로후서 1:1 ~ 4,2009-01-25
834,다시 태어났다,주일예배,김상복 목사,요한복음 3:1 ~ 8,2009-01-18
835,확실히 알 수 있다,주일예배,김상복 목사,요한1서 5:6 ~ 13,2009-01-11
836,미래의 새 도약을 준비하자,주일예배,김상복 목사,여호수아 1:1 ~ 9,2009-01-04
837,오 신실하신 주,주일예배,김상복 목사,예레미아애가 3:19 ~ 26,2008-12-28
838,큰 기쁨의 좋은 소식,주일예배,김상복 목사,누가복음2:8 ~ 20,2008-12-21
839,냉수 한 그릇의 상급,주일예배,김상복 목사,마태복음 10:40-42,2008-12-14
840,넉넉히 이긴다,주일예배,김상복 목사,로마서 8:31 ~ 39,2008-12-07
841,복받을 자들이여,주일예배,김상복 목사,마태복음 25:31~46,2008-11-30
842,염려하지 말라,주일예배,김상복 목사,마태복음 6:24~34,2008-11-23
843,복음주의 운동,주일예배,김상복 목사,마가복음 16:15 ~ 20,2008-11-16
844,은사대로 살라,주일예배,김상복 목사,에베소서 4:1-12,2008-11-09
845,증거를 보여 주세요,주일예배,김상복 목사,요한복음 13:31~38,2008-11-02
846,존귀한 생명,주일예배,김상복 목사,마태복음 16:26,2008-10-26
847,일당백의 사람,주일예배,김상복 목사,여호수아 23:1 ~ 11,2008-10-19
848,준비하고 있으라,주일예배,김상복 목사,마태복음 24:32~44,2008-10-12
849,복음의 능력,주일예배,브루스 니콜스 목사,"시편 51:1 ~4, 7~11 / 요한복음 12:20~36",2008-10-05
850,하나님께 영광을 올려드리라,주일예배,김상복 목사,사도행전 12:20 ~ 24,2008-09-28
851,회 복,주일예배,신현규 목사,"사사기 16:15 ~ 22, 28~30",2008-09-21
852,마땅한 사랑,주일예배,김상복 목사,요한1서 4:7 ~ 16,2008-09-14
853,이렇게 기도하라,주일예배,김상복 목사,마태복음 6:5-13,2008-08-31
854,열심을 내라 회개하라,주일예배,김상복 목사,요한계시록 3:1 ~ 21,2008-08-24
855,구원받은 자의 고민,주일예배,서계원 목사,로마서 7:21~8:4,2008-08-17
856,이 몸의 소망 무엔가,주일예배,손수현 목사,예레미야 29:4 ~ 14,2008-08-10
857,핍박속의 기적,주일예배,김상복 목사,사도행전 12:5 - 19,2008-08-03
858,박해의 축복,주일예배,김상복 목사,사도행전 12:1 ~ 5,2008-07-27
859,성공적 국가변혁의 증거,주일예배,마크 빌라일즈 목사,마가복음 16:15 ~ 18,2008-07-20
860,좋은사람 성령의 사람,주일예배,김상복 목사,사도행전 11:19 ~ 30,2008-07-13
861,뛰어난 민족,주일예배,김상복 목사,신명기 28:1 ~ 14,2008-07-06
862,나의 멍에를 메고,주일예배,이상협 목사,마태복음 11:25~30,2008-06-29
863,맡은 일에 충성하라,주일예배,김상복 목사,마태복음 24:45~51,2008-06-22
864,일본 경제의 성경적 이해,주일예배,오가와 목사,"창세기 1:27~28, 마태복음 6:24",2008-06-15
865,다 주의 것이니이다.,주일예배,김상복 목사,역대상 29:10 ~ 19,2008-06-08
866,두려워 말라,주일예배,김상복 목사,이사야 41:8 ~ 13,2008-06-01
867,성경적 부부,주일예배,김상복 목사,베드로전서 3:1 ~ 7,2008-05-25
868,보이지 않는 어머니,주일예배,김상복 목사,잠언 31:10 - 31,2008-05-18
869,고마운 선생님,주일예배,김상복 목사,신명기 6:1-9,2008-05-11
870,다 주의 것이니이다.,주일예배,김상복 목사,역대상 29:10 ~ 19,2008-06-08
871,두려워 말라,주일예배,김상복 목사,이사야 41:8 ~ 13,2008-06-01
872,성경적 부부,주일예배,김상복 목사,베드로전서 3:1 ~ 7,2008-05-25
873,보이지 않는 어머니,주일예배,김상복 목사,잠언 31:10 - 31,2008-05-18
874,고마운 선생님,주일예배,김상복 목사,신명기 6:1-9,2008-05-11
875,문제 가정의 치유,주일예배,요한 루카스,"사무엘상 1:1-11, 24-27",2008-05-04
876,제한없는 하나님의 은혜,주일예배,김상복 목사,사도행전 11:1 ~ 18,2008-04-27
877,일어나 가라,주일예배,김상복 목사,누가복음 5:17 ~ 26,2008-04-20
878,너는 나를 따르라,주일예배,김상복 목사,요한복음 21:15 ~ 23,2008-04-13
879,신앙인의 정치참여,주일예배,김상복 목사,로마서 13:1~7,2008-04-06
880,자유로운 섬김,주일예배,김상복 목사,고린도전서 9:19 ~ 23,2008-03-30
881,부활이 없으면 불쌍한 자,주일예배,김상복 목사,고린도전서 15:12 ~ 19,2008-03-23
882,섬김의 태도(VI),주일예배,김상복 목사,로마서 12:9 ~ 13,2008-03-16
883,섬김의 태도(V),주일예배,김상복 목사,로마서 12:9 ~ 13,2008-03-09
884,섬김의 태도(IV),주일예배,김상복 목사,로마서 12:10 ~ 13,2008-03-02
885,자유로운 섬김,주일예배,김상복 목사,고린도전서 9:19 ~ 23,2008-03-30
886,부활이 없으면 불쌍한 자,주일예배,김상복 목사,고린도전서 15:12 ~ 19,2008-03-23
887,섬김의 태도(VI),주일예배,김상복 목사,로마서 12:9 ~ 13,2008-03-16
888,섬김의 태도(V),주일예배,김상복 목사,로마서 12:9 ~ 13,2008-03-09
889,섬김의 태도(IV),주일예배,김상복 목사,로마서 12:10 ~ 13,2008-03-02
890,섬김의 태도(III),주일예배,김상복 목사,로마서 12:6 ~ 13,2008-02-24
891,섬김의 태도(II),주일예배,김상복 목사,로마서 12:3 ~ 13,2008-02-17
892,섬김의 태도,주일예배,김상복 목사,로마서 12:1 ~ 8,2008-02-10
893,기독교와 이성,주일예배,석철효 목사,고린도전서 2:12 ~ 14,2008-02-03
894,섬김의 주체,주일예배,김상복 목사,데살로니가전서 1:1 ~ 10,2008-01-27
895,섬김의 대상,주일예배,김상복 목사,마태복음 4:1-11,2008-01-20
896,최고의 인물이 되자,주일예배,김상복 목사,마태복음 20:20 - 28,2008-01-13
897,선한 행실을 보이자,주일예배,김상복 목사,마태복음 5:13~16,2008-01-06
898,변화는 계속되어야,주일예배,김상복 목사,에베소서 4:17 ~ 32,2007-12-30
899,주님을 찬양한다,주일예배,김상복 목사,누가복음 1:46 ~ 56,2007-12-23
900,섬김의 대상,주일예배,김상복 목사,마태복음 4:1-11,2008-01-20
901,최고의 인물이 되자,주일예배,김상복 목사,마태복음 20:20 - 28,2008-01-13
902,선한 행실을 보이자,주일예배,김상복 목사,마태복음 5:13~16,2008-01-06
903,변화는 계속되어야,주일예배,김상복 목사,에베소서 4:17 ~ 32,2007-12-30
904,주님을 찬양한다,주일예배,김상복 목사,누가복음 1:46 ~ 56,2007-12-23
905,죄에서 구원할 자,주일예배,김상복 목사,마태복음 1:18 ~ 25,2007-12-16
906,선을사랑하며공의를세우라,주일예배,김상복 목사,아모스 5:4 ~ 15,2007-12-09
907,견고한 나라,주일예배,김상복 목사,역대하 9:1 ~ 12,2007-12-02
908,내 증인이 되라,주일예배,김상복 목사,사도행전 1:4 ~ 11,2007-11-25
909,시험은 유익하다,주일예배,김상복 목사,야고보서 1:1 ~ 8,2007-11-18
910,우리는 하나이다,주일예배,김상복 목사,에베소서 4:1~6,2007-11-11
911,믿는다는 것의 의미,주일예배,"이연길 목사, 정영숙 권사","요한복음 20:1~10,16~18",2007-11-04
912,또 하나의 생명,주일예배,김상복 목사,요한복음 3:1 ~ 8,2007-10-28
913,감사는 행복의 열쇠,주일예배,김상복 목사,출애굽기 16:1 ~ 12,2007-10-21
914,사랑방 중심 사역,주일예배,김상복 목사,사도행전 2:40 ~ 47,2007-10-14
915,만유를 통일하신다,주일예배,김상복 목사,에베소서 4:1~6,2007-10-07
916,땅끝 사역,주일예배,김상복 목사,사도행전 1:4 ~ 8,2007-09-30
917,굶주린 자를 먹이라,주일예배,김상복 목사,마태복음 25:31 ~ 46,2007-09-23
918,내가 가서 고쳐주리라,주일예배,김상복 목사,마태복음 8:5 ~ 13,2007-09-16
919,편견을 넘어,주일예배,김상복 목사,사도행전 10:9 ~ 23,2007-09-09
920,이웃을 사랑하라,주일예배,김상복 목사,누가복음 10:25 ~ 37,2007-09-02
921,투명한 지도자,주일예배,김상복 목사,사무엘상 12:1 ~ 5,2007-08-26
922,탕자,주일예배,피터 에이든 선교사,누가복음 15:11 ~ 32,2007-08-19
923,파수꾼,주일예배,토마스 왕 목사,에스겔 3:16 ~ 21,2007-08-19
924,당신은 하나님의 사람이시오!,주일예배,이건호 목사,열왕기상 17:17 ~ 24,2007-08-12
925,네 빛을 비추라,주일예배,김상복 목사,마태복음 5:13 ~ 16,2007-08-05
926,위기속의 믿음,주일예배,김상복 목사,히브리서 11:23 ~ 40,2007-07-29
927,인정받는 사람,주일예배,김상복 목사,사도행전 10:1 ~ 8,2007-07-22
928,실현하지 못할 가능성,주일예배,필 스테인 목사,요한계시록 2:1 ~ 7,2007-07-15
929,예수께서 낫게 하신다,주일예배,김상복 목사,사도행전 9:32~43,2007-07-08
930,평신도 선교의 도전,주일예배,김상복 목사,마태복음 9:9 ~ 13,2007-07-01
931,옛날을 기억하라,주일예배,김상복 목사,신명기 32:7 ~ 15,2007-06-24
932,기적을 만드는 사람,주일예배,김형석 목사,열왕기상 18:36 ~ 39,2007-06-17
933,선조들의 신앙따라,주일예배,김상복 목사,마태복음 5:1 ~ 12,2007-06-10
934,그리스도의 복음,주일예배,게리 호그 목사,디모데전서 6:17 ~ 19,2007-06-03
935,치유의 길,주일예배,김상복 목사,열왕기하 5:9 ~ 14,2007-05-27
936,인내의 적극적 사랑,주일예배,김상복 목사,고린도전서 13:4~7,2007-05-20
937,"가르치라, 지키라",주일예배,김상복 목사,마태복음 28:18 ~ 20,2007-05-13
938,성령충만한 가정,주일예배,김상복 목사,에베소서 5:15 ~ 6:4,2007-05-06
939,흩어져 전하라,주일예배,김상복 목사,사도행전 8:1 ~ 8,2007-04-29
940,치유의 길,주일예배,김상복 목사,열왕기하 5:9 ~ 14,2007-05-27
941,인내의 적극적 사랑,주일예배,김상복 목사,고린도전서 13:4~7,2007-05-20
942,"가르치라, 지키라",주일예배,김상복 목사,마태복음 28:18 ~ 20,2007-05-13
943,성령충만한 가정,주일예배,김상복 목사,에베소서 5:15 ~ 6:4,2007-05-06
944,흩어져 전하라,주일예배,김상복 목사,사도행전 8:1 ~ 8,2007-04-29
945,분노한 살인자,주일예배,김상복 목사,창세기 4:1 ~ 10,2007-04-22
946,수고가 헛되지 않다,주일예배,김상복 목사,고린도전서 15:49 ~ 58,2007-04-15
947,살아나셨느니라,주일예배,김상복 목사,마태복음 28:1 ~ 10,2007-04-08
948,구원의 왕이 오신다,주일예배,김상복 목사,마태복음 21:1 ~ 11,2007-04-01
949,기적과 구원,주일예배,김상복 목사,사도행전 9:32 ~ 35,2007-03-25
950,격려의 사역,주일예배,김상복 목사,사도행전 9:26 ~ 31,2007-03-18
951,예수의 증인 사울,주일예배,김상복 목사,사도행전 9:20 ~ 25,2007-03-11
952,위험한 인물,주일예배,김상복 목사,누가복음 4:16 ~ 20,2007-03-04
953,눈을 들어 세계를 보라,주일예배,김상복 목사,요한복음 4:31~38,2007-02-25
954,꿈같은 회복을 !,주일예배,김광건 목사,시편 126:1~6,2007-02-18
955,삶을 극대화시켜라,주일예배,황성주 목사,누가복음 16:1~13,2007-02-11
